,rmse,mean,median,std,min,max,sse
0_kitti.txt,5.430288766659357,4.58814887661125,3.9669127163969673,2.904638699624745,1.16657186067974,15.456597660793198,23649.40494362406
1_kitti.txt,5.759249583764907,4.946465187082762,4.582080992492353,2.9498199811301316,1.5501673700710963,16.259663080821223,26767.347304853683
2_kitti.txt,6.626923275647369,5.656906532317844,5.02724542636141,3.4518865256460223,1.6500874393290834,17.925223276339526,35659.883026269286
3_kitti.txt,5.875137696457622,4.95007540796266,4.714995969495018,3.1644899127380195,0.40289884982000035,18.330260414614607,27441.20814710821
4_kitti.txt,5.891614352397566,5.099236611839025,4.70823990950366,2.9510855043284407,1.406516187137889,14.986422027912464,28011.87357964323
5_kitti.txt,5.706789682176566,4.851352705361243,4.235924395731656,3.0052995532527307,1.6128097763260505,15.179020067367315,26444.76816299669
6_kitti.txt,5.495607938715868,4.7983146338601514,4.624157469510914,2.6791571978068776,1.3014980119203454,15.832953920592447,24191.566999477574
7_kitti.txt,5.247365220606831,4.4502202760020175,3.769465242795567,2.7803563177216524,1.5308464499204504,14.09318824479642,22495.965716640723
8_kitti.txt,5.846103997489281,4.986470207407803,4.808688715830314,3.051564651141204,0.6893153125316749,17.9698504495854,27888.376470759482
9_kitti.txt,6.07761440296258,5.204119256736543,4.838104307451621,3.139194099249374,1.5046163688276792,18.637735477932537,30362.54019516272
