,rmse,mean,median,std,min,max,sse
0_kitti.txt,263.12946266945033,218.64725161652922,197.2107021413718,146.39157586846258,3.4810882223445043,627.3126832369261,23886804.373026215
1_kitti.txt,530.1051779546626,468.54786308965964,479.26356873740326,247.94031477042623,3.505012391112784,1025.2681918159178,120272921.86917943
2_kitti.txt,377.9796117295925,329.30378406767886,358.86186015261325,185.5467722218875,3.4178309323173335,639.2358724425194,81435094.52345449
3_kitti.txt,446.21858633830453,389.7414543153412,429.1868014768572,217.28466485676745,11.659627456678532,771.7491903746578,109112842.68297769
4_kitti.txt,410.9612941988938,354.02076508242544,368.8437806694636,208.70669184308375,11.478989205101453,802.3842874079481,88497933.112726
5_kitti.txt,167.71225047948926,126.09421098174032,101.1279106739362,110.57870010895996,1.2248218871026797,707.7218104261834,5709861.989061673
6_kitti.txt,390.4644906410399,338.6423027153382,361.22894189566,194.3808356377243,11.717406633225808,682.0678723490657,84159310.18526483
7_kitti.txt,1.9063154958849475,1.6088334029254958,1.4804147302163015,1.0225917325512865,0.12712202413844262,5.414023688048282,752.2460253591722
8_kitti.txt,508.24092066630146,446.2922684952819,499.2880738928094,243.17081346466108,4.266755957043234,856.7973714163107,141294931.89153218
9_kitti.txt,232.6336500545497,194.19609272421948,180.72913705899816,128.08705129071032,6.496548406064068,573.5408972230881,18941445.298195943
