,rmse,mean,median,std,min,max,sse
0_kitti.txt,0.03795058488946896,0.03171430645099313,0.026304269601489284,0.020843456042251848,0.0023095511309706397,0.14353514823667973,0.3038920945185386
1_kitti.txt,0.02828364268034083,0.02465599446899441,0.02221920445458039,0.013858079954095897,0.003858434356046326,0.089884265652889,0.16559263975672386
2_kitti.txt,0.04074326375300379,0.034169420370903474,0.02911501218873735,0.02219153561075303,0.001993536498062256,0.12390628945273352,0.3502628572030817
3_kitti.txt,0.04096817175227038,0.035157771214377506,0.031107254462585242,0.02103145786580221,0.004144365145106994,0.12635438368686613,0.335678219344705
4_kitti.txt,0.04185157999047462,0.035705286932913756,0.030411710284030447,0.021833168179112104,0.0050005263031631065,0.11680743482103507,0.366074942269111
5_kitti.txt,0.03957743117610715,0.03362705188967672,0.02612962495118243,0.02087089935073445,0.0024099751688300168,0.11417383001518303,0.32110647699239714
6_kitti.txt,0.04025214595540744,0.03491294043159236,0.030953233246057484,0.0200330188547684,0.005801475329234233,0.13597708540382294,0.337008932835208
7_kitti.txt,0.04225131600648534,0.03603104528600124,0.03182650102014405,0.02206665991667094,0.003954450560971909,0.12492434759935703,0.38381234642017503
8_kitti.txt,0.04966364956092426,0.04236741815553741,0.03699791460986997,0.025912930489316147,0.005801566241989343,0.1335789726272355,0.4858961832789276
9_kitti.txt,0.03793930471709634,0.031637052004064324,0.027979658963921655,0.02094009987819585,0.003096228004620029,0.10248615878297425,0.29651451353783786
