,rmse,mean,median,std,min,max,sse
0_kitti.txt,0.39153310146675907,0.10640970223538712,0.05421107082994419,0.376795892777981,0.0015246454517283954,8.406144900089865,213.85094651413033
1_kitti.txt,0.7387286846616173,0.19021184382941903,0.06718329996246239,0.7138203723689147,0.002284176961663063,11.072391572508236,734.539213603375
2_kitti.txt,0.20826685791482868,0.09528809169316547,0.06470978712347303,0.18518980449039396,0.0038113799463684655,4.567108439326822,58.20936286987012
3_kitti.txt,0.5096929963612654,0.15972396620013046,0.057817775097755174,0.48401983963575756,0.0016836001598312571,6.312033026682901,365.52023940939296
4_kitti.txt,0.2647512772685558,0.11034489621075134,0.060944203252548027,0.24066001474189724,0.0021958067044592724,3.2082252164116745,93.2941008632065
5_kitti.txt,0.8879024484203992,0.3295560565400856,0.11953973762519084,0.8244777519792076,0.004358602327863104,11.703915442915683,1031.9773221054202
6_kitti.txt,1.0524493268302557,0.4209696248483562,0.09790574367455995,0.9645901515672306,0.0011026498528786074,7.866437503202493,1493.1116413152781
7_kitti.txt,0.6272748469658517,0.18707565621667716,0.0627859106622675,0.598729014235265,0.002276993704392153,7.794841394903939,531.189540408644
8_kitti.txt,0.35498267442519366,0.12671496742758315,0.05313764346955225,0.3315961642900737,0.0009486778929738077,4.246457783092719,176.79581689631442
9_kitti.txt,0.685671004215668,0.25717934001168385,0.10740388971906546,0.635612706837487,0.0017583171750542468,9.369164817950628,653.5011691707504
