,rmse,mean,median,std,min,max,sse
0_kitti.txt,0.1896991747056111,0.09654312747377408,0.0735936907365155,0.1632948297453798,0.0009412445576715831,5.171127432184014,79.06075181412595
1_kitti.txt,0.17350867902131434,0.08778439773345081,0.06461657441212504,0.14966349324500217,0.00328643763227951,3.2566009644281118,66.74336517941454
2_kitti.txt,0.17935514023288596,0.08530920305394325,0.0629922634244838,0.15776757018557164,0.003010054528690951,3.6076951230840684,70.28766192658863
3_kitti.txt,0.1400093372023913,0.07610350863591518,0.054067084553765465,0.117519659960179,0.0022228459817888943,2.680404679085544,43.02773883595714
4_kitti.txt,0.1690730576425316,0.08947470035367382,0.06421742160841755,0.14345722992312065,0.0036607074344250493,3.2063876190699543,63.37449428525872
5_kitti.txt,0.1719718339886586,0.08623031714091882,0.06603664368504081,0.14879060484855658,0.0025852276106563894,3.865546134341662,64.70859396770497
6_kitti.txt,0.1517992859397174,0.08371196835198226,0.059882188737497476,0.12663068177359232,0.0026594693593018893,2.570955148706262,50.441177810647886
7_kitti.txt,0.16357408745367114,0.08429695618783482,0.06276779557142283,0.14018025989335126,0.002411798018079083,3.3746193454443345,59.533172642020276
8_kitti.txt,0.19739125509623864,0.09296583980283638,0.06881874925213237,0.17412828666882849,0.0007323358212522314,5.214907781350645,84.70623069733021
9_kitti.txt,0.16679604018527439,0.08717551986910795,0.0629212859735625,0.14220178535109337,0.002039386692335819,3.706237828908046,60.81652898097204
