,rmse,mean,median,std,min,max,sse
0_kitti.txt,530.1730185305066,456.3867941631875,479.4181352326099,269.8046027983904,4.846876690821271,936.7407283724019,111027954.68321082
1_kitti.txt,519.3041493082251,449.21376903133796,505.03894160830095,260.54517689145393,4.5076105556739545,969.2021088717821,125939065.36124125
2_kitti.txt,520.7055446710259,451.3134527092819,523.6251914671155,259.7122092909312,4.519990592182058,948.5506111117701,121197016.12026392
3_kitti.txt,512.7631440172071,436.7536577210473,444.5887967790193,268.6489983783623,5.011375807674771,929.953486017879,116213310.50318569
4_kitti.txt,532.4792996787282,456.49170568783677,519.8059214819151,274.13414093205967,5.122606122557461,1022.2899395647062,132410473.54182492
5_kitti.txt,506.2295603403089,438.0932268536906,455.29797487745844,253.6586137848727,2.877035386071847,796.2012716418786,93281685.86549266
6_kitti.txt,496.0995426368826,429.7615935402335,466.8807666592762,247.8300403951934,7.278619752038684,946.2494925311572,113458902.6102856
7_kitti.txt,514.7788218263738,437.36860989177933,430.95250337188463,271.48836896316953,3.6879544448383386,902.4331979571692,86124101.50530858
8_kitti.txt,459.22871100909765,383.54754158013026,347.6449952455945,252.55156377048155,5.851283666309867,797.1699386491636,86887095.71421185
9_kitti.txt,525.668046232109,460.91924319244714,488.20355538995113,252.7456153613439,2.1541348448399598,829.9091973313751,101688297.29724962
