,rmse,mean,median,std,min,max,sse
0_kitti.txt,10.08443688189034,8.851503236290336,8.024561211314278,4.831848267772062,0.8205772593786503,22.157038931889684,258917.6779544176
1_kitti.txt,7.5925298491452855,6.079882698411225,5.2576053275010874,4.547695667447632,0.10462448618550114,23.627100157799724,157605.55700078327
2_kitti.txt,6.792854257848923,6.279862225388191,6.010366358398045,2.5896330625242503,1.7752051799833362,21.49166469844141,116695.31562102352
3_kitti.txt,7.3779177156316385,6.611310243914741,5.977895501798466,3.274789562298499,1.0181207871276932,37.89784367322601,139023.59271678404
4_kitti.txt,9.415997538274906,8.152093932241543,6.797913553226646,4.712151754847215,1.0093466156617055,21.89207286770744,234774.35352883599
5_kitti.txt,6.902890684387759,6.097725544420446,5.731125105357691,3.2353737010629375,0.4988737365992938,13.228089246177753,126653.43367001423
6_kitti.txt,5.041465096693713,4.59072909257068,4.213890541168329,2.083645056099078,0.6689614492516021,15.073818398853444,63566.34217327355
7_kitti.txt,7.988826720817653,6.950308932060748,6.991767742400699,3.9388523866942156,0.3423097864116226,20.76491053656033,163829.4115472671
8_kitti.txt,8.352271986301261,7.147935155845795,6.710424997435224,4.320586805166235,1.2188692747368228,24.761109145394226,185004.70632752124
9_kitti.txt,7.9590956624518645,6.909385996237837,5.687562352268523,3.950644114451789,0.45451212188820034,17.843898487756494,169263.72845756856
